,tool,shap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf,info_gain_rf,exirt_rf
0,shap_rf,1.0,0.2102960102960103,0.34311454311454315,0.04942084942084943,0.17425997425997425,-0.13693693693693695,-0.09755469755469756,0.010296010296010296
1,eli5_rf,0.2102960102960103,1.0,0.22496782496782497,0.1446589446589447,0.1868725868725869,-0.1626769626769627,0.1371943371943372,0.0416988416988417
2,dalex_rf,0.34311454311454315,0.22496782496782497,1.0,-0.10553410553410554,0.24504504504504507,-0.054826254826254826,-0.03346203346203346,0.1655083655083655
3,ci_rf,0.04942084942084943,0.1446589446589447,-0.10553410553410554,1.0,0.1287001287001287,0.018275418275418277,0.009781209781209782,-0.15701415701415702
4,skater_rf,0.17425997425997425,0.1868725868725869,0.24504504504504507,0.1287001287001287,1.0,-0.0731016731016731,-0.27850707850707856,0.07850707850707851
5,lofo_rf,-0.13693693693693695,-0.1626769626769627,-0.054826254826254826,0.018275418275418277,-0.0731016731016731,1.0,-0.027284427284427287,-0.14877734877734877
6,info_gain_rf,-0.09755469755469756,0.1371943371943372,-0.03346203346203346,0.009781209781209782,-0.27850707850707856,-0.027284427284427287,1.0,0.1922779922779923
7,exirt_rf,0.010296010296010296,0.0416988416988417,0.1655083655083655,-0.15701415701415702,0.07850707850707851,-0.14877734877734877,0.1922779922779923,1.0
